№ п/п|№ п/п в субъекте|Номер УИК/Наименование ТИК|ID объекта|name|IP||Район|Площадка||mgmt ip коммутатора|шлюз|outer|inner
11418|192|2204|62603| sals0-sch31-ats73 | -      |Als-razriv|Липецк|ats73|10.131.206.69|10.131.206.66|10.131.206.65|1434|678
11419|193|2205|62604| sals0-sch31-ats73 | -      |Als-razriv|Липецк|ats73|10.131.206.85|10.131.206.82|10.131.206.81|1434|677
11420|194|2206|62605| e6-a2-ats73 | 172.25.179.136 |27 port|Липецк|ats73|10.131.206.101|10.131.206.98|10.131.206.97|1402|3100
11422|196|2208|62655| sals0-sch2-ats73 | 172.30.147.131 |Als-razriv|Липецк|ats73|10.131.206.229|10.131.206.226|10.131.206.225|1434|607
11421|195|2207|62606| he0-bglip-ats73 | 172.30.39.20 |eth0/0/3|Липецк|ats73|10.131.206.117|10.131.206.114|10.131.206.113|1434|647
11423|197|2209|62656| de0-sch10-ats73 | 172.30.39.34 |8 port|Липецк|ats73|10.131.206.245|10.131.206.242|10.131.206.241|1434|650
11426|200|2212|86720| he0-mgutu-ats73 | 172.30.39.10 |Eth0/0/24|Липецк|ats73|10.131.209.117|10.131.209.114|10.131.209.113|1434|668
11424|198|2210|62657| sals0-sch62-ats73 | 172.30.147.133 |Als-razriv|Липецк|ats73|10.131.207.5|10.131.207.2|10.131.207.1|1434|656
11425|199|2211|62658| sals0-sch62-ats73 | 172.30.147.133 |Als-razriv|Липецк|ats73|10.131.207.21|10.131.207.18|10.131.207.17|1434|655
11416|190|2201|62405| de0-sch25-ats73 | 172.30.39.30 |port 1|Липецк|ats73|10.131.202.133|10.131.202.130|10.131.202.129|1434|680
11417|191|2202|62406| de0-sch25-ats73 | 172.30.39.30 |port 2|Липецк|ats73|10.131.202.149|10.131.202.146|10.131.202.145|1434|681
